datetime,股票代码,open,close,high,low,volume,成交额,振幅,涨跌幅,涨跌额,换手率
2025-11-20,300678,31.46,30.95,31.72,30.88,41039,127833694.0,2.68,-1.37,-0.43,1.41
2025-11-21,300678,30.73,30.02,31.18,29.9,50735,153869023.0,4.14,-3.0,-0.93,1.74
2025-11-24,300678,30.09,30.9,31.06,29.87,45295,138392785.0,3.96,2.93,0.88,1.56
2025-11-25,300678,30.99,31.01,31.44,30.86,46046,143568361.0,1.88,0.36,0.11,1.58
2025-11-26,300678,30.82,30.71,31.27,30.65,33998,105152010.0,2.0,-0.97,-0.3,1.17
2025-11-27,300678,30.72,30.42,30.97,30.41,30858,94682210.0,1.82,-0.94,-0.29,1.06
2025-11-28,300678,30.41,30.68,30.7,30.34,27280,83403416.0,1.18,0.85,0.26,0.94
2025-12-01,300678,30.66,31.21,31.24,30.51,35659,110595960.0,2.38,1.73,0.53,1.22
2025-12-02,300678,31.1,30.71,31.26,30.7,35405,109343406.0,1.79,-1.6,-0.5,1.22
2025-12-03,300678,30.95,30.25,31.08,30.08,36188,110148797.0,3.26,-1.5,-0.46,1.24
2025-12-04,300678,30.18,30.32,30.43,29.96,26188,79126844.0,1.55,0.23,0.07,0.9
2025-12-05,300678,30.33,31.02,31.02,30.24,42432,130476459.0,2.57,2.31,0.7,1.46
2025-12-08,300678,31.09,31.07,31.3,31.0,47255,147275379.0,0.97,0.16,0.05,1.62
2025-12-09,300678,31.0,30.75,31.25,30.72,27437,84875952.0,1.71,-1.03,-0.32,0.94
2025-12-10,300678,30.65,30.46,30.66,30.15,33973,103161195.0,1.66,-0.94,-0.29,1.17
2025-12-11,300678,30.45,29.9,30.5,29.9,36434,109683019.0,1.97,-1.84,-0.56,1.25
2025-12-12,300678,29.9,29.79,30.17,29.68,30683,91830582.0,1.64,-0.37,-0.11,1.05
2025-12-15,300678,29.6,29.3,29.89,29.25,31933,94240040.0,2.15,-1.64,-0.49,1.1
2025-12-16,300678,29.25,29.19,29.37,28.68,41449,120019495.0,2.35,-0.38,-0.11,1.42
2025-12-17,300678,29.29,29.4,29.49,28.7,47677,138865090.0,2.71,0.72,0.21,1.64
2025-12-18,300678,29.4,29.83,30.66,29.39,54907,165128478.0,4.32,1.46,0.43,1.89
2025-12-19,300678,29.83,29.85,30.08,29.81,30353,90805189.0,0.91,0.07,0.02,1.04
2025-12-22,300678,29.99,30.21,30.29,29.78,38908,117024214.0,1.71,1.21,0.36,1.34
2025-12-23,300678,30.03,29.66,30.2,29.57,35024,104416041.0,2.09,-1.82,-0.55,1.2
2025-12-24,300678,29.51,30.12,30.32,29.5,36338,109138995.0,2.76,1.55,0.46,1.25
2025-12-25,300678,30.12,30.22,30.35,29.98,37681,113641170.66,1.23,0.33,0.1,1.29
