datetime,open,close,high,low,volume,成交额,均价
2025-12-19 13:27:00,0.0,1410.9,1410.9,1410.6,76,10721601.0,1407.23
2025-12-19 13:28:00,0.0,1410.82,1410.9,1410.6,45,6348843.0,1407.238
2025-12-19 13:29:00,0.0,1411.7,1411.74,1410.9,142,20039385.0,1407.268
2025-12-19 13:30:00,0.0,1411.71,1412.0,1411.69,85,12007729.0,1407.289
2025-12-19 13:31:00,0.0,1411.49,1411.71,1410.4,136,19191108.0,1407.319
2025-12-19 13:32:00,0.0,1411.24,1411.5,1411.17,105,14820234.0,1407.342
2025-12-19 13:33:00,0.0,1411.01,1411.23,1410.9,51,7196544.0,1407.352
2025-12-19 13:34:00,0.0,1411.0,1411.23,1411.0,44,6208914.0,1407.36
2025-12-19 13:35:00,0.0,1410.18,1411.0,1410.01,48,6771914.0,1407.369
2025-12-19 13:36:00,0.0,1409.4,1410.02,1409.4,33,4652342.0,1407.373
2025-12-19 13:37:00,0.0,1409.04,1409.8,1409.03,27,3805448.0,1407.376
2025-12-19 13:38:00,0.0,1409.93,1410.8,1409.04,48,6767196.0,1407.382
2025-12-19 13:39:00,0.0,1410.74,1410.75,1409.9,44,6205565.0,1407.388
2025-12-19 13:40:00,0.0,1410.61,1410.75,1410.61,36,5078513.0,1407.394
2025-12-19 13:41:00,0.0,1410.59,1410.62,1410.55,43,6065540.0,1407.401
2025-12-19 13:42:00,0.0,1410.58,1410.59,1410.0,64,9026681.0,1407.411
2025-12-19 13:43:00,0.0,1410.0,1410.57,1409.98,30,4230392.0,1407.415
2025-12-19 13:44:00,0.0,1409.86,1410.05,1409.86,39,5498918.0,1407.42
2025-12-19 13:45:00,0.0,1409.84,1410.5,1409.84,51,7191239.0,1407.427
2025-12-19 13:46:00,0.0,1410.26,1410.57,1410.1,62,8744827.0,1407.437
2025-12-19 13:47:00,0.0,1410.57,1410.57,1409.98,69,9731768.0,1407.447
2025-12-19 13:48:00,0.0,1410.53,1410.57,1410.14,42,5923716.0,1407.453
2025-12-19 13:49:00,0.0,1410.0,1410.53,1410.0,24,3384469.0,1407.456
2025-12-19 13:50:00,0.0,1409.83,1410.19,1409.51,49,6908281.0,1407.462
2025-12-19 13:51:00,0.0,1410.0,1410.0,1409.51,43,6061890.0,1407.467
2025-12-19 13:52:00,0.0,1409.91,1410.2,1409.9,61,8600887.0,1407.475
2025-12-19 13:53:00,0.0,1409.79,1409.91,1409.7,43,6062353.0,1407.48
2025-12-19 13:54:00,0.0,1409.69,1409.8,1409.45,31,4369877.0,1407.483
2025-12-19 13:55:00,0.0,1409.4,1409.7,1409.02,39,5496585.0,1407.487
2025-12-19 13:56:00,0.0,1409.27,1409.39,1409.01,34,4791400.0,1407.489
2025-12-19 13:57:00,0.0,1409.22,1409.39,1409.18,53,7468829.0,1407.494
2025-12-19 13:58:00,0.0,1409.27,1409.27,1409.01,34,4790957.0,1407.497
2025-12-19 13:59:00,0.0,1409.0,1409.39,1409.0,57,8031679.0,1407.501
2025-12-19 14:00:00,0.0,1408.19,1409.07,1408.08,183,25782220.0,1407.513
2025-12-19 14:01:00,0.0,1408.04,1408.29,1408.03,71,9997418.0,1407.515
2025-12-19 14:02:00,0.0,1408.19,1408.88,1408.04,40,5632592.0,1407.516
2025-12-19 14:03:00,0.0,1408.85,1408.88,1408.13,59,8309954.0,1407.519
